Año;Mes de choque;Rango horario;Cantidad de lesionados;Lugar del accidente;Coordenada X;Coordenada Y
2016;Julio;0 a 5:59;1;BERMUDEZ Y REGIMIENTO 11;5439934,11;6349189
2016;Junio;0 a 5:59;1;JUAN PABLO II Y JUNIN;5432400,54;6357025,36
2016;Junio;0 a 5:59;1;CIUDADELA Y JOSE MARIA ROSA;5432680,57;6360940,51
2016;Octubre;0 a 5:59;2;PARAGUAY Y REGIMIENTO 11;5438797,93;6349140,91
2016;Noviembre;0 a 5:59;1;25 DE MAYO Y SEGUI;5433055,88;6352279,75
2016;Junio;0 a 5:59;1;ALVEAR Y CORDOBA;5438782,08;6355296,99
2016;Noviembre;0 a 5:59;2;27 DE FEBRERO Y BUENOS AIRES;5440353,79;6352522,72
2016;Abril;0 a 5:59;1;BARRA Y GORRITI;5433826,97;6357403,12
2016;Junio;0 a 5:59;1;ALEM Y ITUZAINGO;5440921,58;6353201,59
2016;Diciembre;0 a 5:59;1;AVELLANEDA Y SANTA FE;5436521,05;6355919,14
2016;Abril;0 a 5:59;1;MITRE Y OLEGARIO;5439197,32;6349483,9
2016;Junio;0 a 5:59;1;AVELLANEDA Y LAMADRID;5435621,48;6349193,97
2016;Octubre;0 a 5:59;1;NICOLAS LAGUNA Y SALVAT;5432227,51;6361915,76
2016;Diciembre;0 a 5:59;1;CALLAO Y CATAMARCA;5438406,6;6356047,77
2016;Septiembre;0 a 5:59;1;IRIONDO Y LAS FLORES;5436255,54;6348973,88
2016;FEBRERO;0 a 5:59;4;GENOVA Y SARRATEA;5430637,41;6358206,35
2016;Noviembre;0 a 5:59;1;CATAMARCA Y DORREGO;5439422,02;6355838,42
2016;Enero;0 a 5:59;1;9 DE JULIO Y OROÑO;5438738,205;6354447,03
2016;Septiembre;0 a 5:59;1;CAMPBELL Y CENTENO;;
2016;Diciembre;0 a 5:59;1;RIO DE JANEIRO Y SANTA FE;5436394,02;6355945,31
2016;Septiembre;0 a 5:59;1;PTE ROCA Y WHEELWRIGHT;5439885.17;6356144.92
2016;Diciembre;0 a 5:59;1;ALBERDI Y HARDING;5436867,77;6356940,94
2016;Diciembre;0 a 5:59;1;MORENO 400;5439250,22;6355723,49
2016;Diciembre;0 a 5:59;1;27 DE FEBRERO Y MAIPU;5440099,61;6352574,88
2016;Noviembre;0 a 5:59;1;MORENO Y REGIMIENTO 11;5438122,07;6349112,78
2016;FEBRERO;0 a 5:59;1;GARAY Y RIO DE JANEIRO;5435719,05;6352682,55
2016;Diciembre;0 a 5:59;1;GRANDOLI Y BAIGORRIA;;
2016;Abril;0 a 5:59;1;CAFFERATA 1400;5437068,141;6354778,023
2016;marzo;0 a 5:59;2;IRIONDO Y MONTEVIDEO;5437159,69;6354505,64
2016;Agosto;0 a 5:59;1;PELLEGRINI Y SAN MARTIN;5440215,94;6353744,88
2016;Diciembre;0 a 5:59;2;SAN LORENZO Y VERA MUJICA;5437688,76;6355785,92
2016;Diciembre;0 a 5:59;2;MITRE Y URQUIZA;5440274,03;6355390,28
2016;Diciembre;0 a 5:59;1;PELLEGRINI Y ROUILLON;5434363,47;6354732,58
2016;Enero;0 a 5:59;1;ROULLON 2830;5434405,843;6353250,397
2016;FEBRERO;0 a 5:59;1;DEL CAMINANTE 4299;5435457,05;6363206,94
2016;Abril;0 a 5:59;1;CENTENO Y CONSTITUCION;5436121,36;6351401,73
2016;Diciembre;0 a 5:59;1;COCHABAMBA Y ENTRE RIOS;5439788,84;6353700,05
2016;Diciembre;0 a 5:59;1;3 DE FEBRERO Y PUEYRREDON;5438381,84;6354642,91
2016;Enero;0 a 5:59;1;BARRA Y J J PASO;5433793,765;6357862,3
2016;Octubre;0 a 5:59;1;AVELLANEDA Y BATTLE ORDOÑEZ;5435576,95;6347887,9
2016;Octubre;0 a 5:59;1;CORDIVIOLA Y FRONDIZI ARTURO;5436816,27;6358763,69
2016;Agosto;0 a 5:59;1;PUEYRREDON Y SAN JUAN;5438442,29;6354934,35
2016;Julio;0 a 5:59;1;ESCALADA CELEDONIO 99;5438108,51;6356814,37
2016;Enero;0 a 5:59;1;DONADO Y EVA PERON;5431970,93;6356702,935
2016;FEBRERO;0 a 5:59;1;RIVAROLA DR. RODOLFO Y COLOMBRES DR. GUILLERMO;5432243;6352735,91
2016;Agosto;0 a 5:59;1;ESPAÑA Y PASCO;5439243,26;6353679,61
2016;Septiembre;0 a 5:59;1;BAIGORRIA Y DARREGUEIRA;5434893,27;6360972,6
2016;Diciembre;0 a 5:59;1;OROÑO 5100;5437865,95;6349279,6
