id,tipo,clasificacion,descripcionresumida,responsable,calle,altura,letra,bis,coordenadax,coordenaday,GEOJSON
83068,Cámara,Domo MR,Sarmiento y San Lorenzo,Mantenimiento de Cámaras,SAN LORENZO                                       ,1108,,0,5440366.52070792,6355235.2116616,"{ ""type"": ""Feature"", ""properties"": { ""id"": 83068, ""tipo"": ""Cámara"", ""clasificacion"": ""Domo MR"", ""descripcionresumida"": ""Sarmiento y San Lorenzo"", ""responsable"": ""Mantenimiento de Cámaras"", ""calle"": ""SAN LORENZO                                       "", ""altura"": 1108, ""letra"": """", ""bis"": 0, ""coordenadax"": 5440366.520708, ""coordenaday"": 6355235.211662 }, ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.637703, -32.944114 ] } }"
83120,Cámara,Domo MR,Pellegrini y Sarmiento,Mantenimiento de Cámaras,PELLEGRINI CARLOS                                 ,1087,,0,5440090.17509308,6353747.15846453,"{ ""type"": ""Feature"", ""properties"": { ""id"": 83120, ""tipo"": ""Cámara"", ""clasificacion"": ""Domo MR"", ""descripcionresumida"": ""Pellegrini y Sarmiento"", ""responsable"": ""Mantenimiento de Cámaras"", ""calle"": ""PELLEGRINI CARLOS                                 "", ""altura"": 1087, ""letra"": """", ""bis"": 0, ""coordenadax"": 5440090.175093, ""coordenaday"": 6353747.158465 }, ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.640755, -32.957515 ] } }"
104310,Cámara,Domo MR,CARRIEGO Y LUDUEÑA,Mantenimiento de Cámaras,LUDUEÑA                                           ,1716,,0,5435691.86368302,6356737.03396903,"{ ""type"": ""Feature"", ""properties"": { ""id"": 104310, ""tipo"": ""Cámara"", ""clasificacion"": ""Domo MR"", ""descripcionresumida"": ""CARRIEGO Y LUDUEÑA"", ""responsable"": ""Mantenimiento de Cámaras"", ""calle"": ""LUDUEÑA                                           "", ""altura"": 1716, ""letra"": """", ""bis"": 0, ""coordenadax"": 5435691.863683, ""coordenaday"": 6356737.033969 }, ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.687585, -32.930308 ] } }"
104311,Cámara,Domo MR,CARRIEGO Y URQUIZA,Mantenimiento de Cámaras,URQUIZA GRAL. JUSTO JOSE                          ,4813,,0,5435660.84590202,6356328.43435395,"{ ""type"": ""Feature"", ""properties"": { ""id"": 104311, ""tipo"": ""Cámara"", ""clasificacion"": ""Domo MR"", ""descripcionresumida"": ""CARRIEGO Y URQUIZA"", ""responsable"": ""Mantenimiento de Cámaras"", ""calle"": ""URQUIZA GRAL. JUSTO JOSE                          "", ""altura"": 4813, ""letra"": """", ""bis"": 0, ""coordenadax"": 5435660.845902, ""coordenaday"": 6356328.434354 }, ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.687945, -32.933990 ] } }"
104312,Cámara,Domo MR,PELLEGRINI Y FRANCIA,Mantenimiento de Cámaras,FRANCIA                                           ,1724,,0,5437508.78985459,6354272.01512333,"{ ""type"": ""Feature"", ""properties"": { ""id"": 104312, ""tipo"": ""Cámara"", ""clasificacion"": ""Domo MR"", ""descripcionresumida"": ""PELLEGRINI Y FRANCIA"", ""responsable"": ""Mantenimiento de Cámaras"", ""calle"": ""FRANCIA                                           "", ""altura"": 1724, ""letra"": """", ""bis"": 0, ""coordenadax"": 5437508.789855, ""coordenaday"": 6354272.015123 }, ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.668327, -32.952638 ] } }"
104325,Cámara,Domo MR,PROVINCIAS UNIDAS y RUEDA MIGUEL,Mantenimiento de Cámaras,PROVINCIAS UNIDAS                                 ,2916,,0,5433461.77967683,6353102.77898032,"{ ""type"": ""Feature"", ""properties"": { ""id"": 104325, ""tipo"": ""Cámara"", ""clasificacion"": ""Domo MR"", ""descripcionresumida"": ""PROVINCIAS UNIDAS y RUEDA MIGUEL"", ""responsable"": ""Mantenimiento de Cámaras"", ""calle"": ""PROVINCIAS UNIDAS                                 "", ""altura"": 2916, ""letra"": """", ""bis"": 0, ""coordenadax"": 5433461.779677, ""coordenaday"": 6353102.778980 }, ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.711690, -32.962941 ] } }"
104331,Cámara,Domo MR,VEINTISIETE DE FEBRERO y BAYO SERVANDO,Mantenimiento de Cámaras,VEINTISIETE DE FEBRERO                            ,4534,,0,5435472.26873174,6353553.65523895,"{ ""type"": ""Feature"", ""properties"": { ""id"": 104331, ""tipo"": ""Cámara"", ""clasificacion"": ""Domo MR"", ""descripcionresumida"": ""VEINTISIETE DE FEBRERO y BAYO SERVANDO"", ""responsable"": ""Mantenimiento de Cámaras"", ""calle"": ""VEINTISIETE DE FEBRERO                            "", ""altura"": 4534, ""letra"": """", ""bis"": 0, ""coordenadax"": 5435472.268732, ""coordenaday"": 6353553.655239 }, ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.690156, -32.958997 ] } }"
83086,Cámara,Domo MR,Nuestra Señora del Rosario y Laprida,Mantenimiento de Cámaras,NUESTRA SRA DEL ROSARIO                           ,748,,0,5439626.86189817,6349071.3621942,"{ ""type"": ""Feature"", ""properties"": { ""id"": 83086, ""tipo"": ""Cámara"", ""clasificacion"": ""Domo MR"", ""descripcionresumida"": ""Nuestra Señora del Rosario y Laprida"", ""responsable"": ""Mantenimiento de Cámaras"", ""calle"": ""NUESTRA SRA DEL ROSARIO                           "", ""altura"": 748, ""letra"": """", ""bis"": 0, ""coordenadax"": 5439626.861898, ""coordenaday"": 6349071.362194 }, ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.646017, -32.999648 ] } }"
103242,Cámara,Domo MR,Presidente Perón y Francia,Mantenimiento de Cámaras,PERON PTE. JUAN DOMINGO,0,,0,5437434.89,6353909.6325,"{ ""type"": ""Feature"", ""properties"": { ""id"": 103242, ""tipo"": ""Cámara"", ""clasificacion"": ""Domo MR"", ""descripcionresumida"": ""Presidente Perón y Francia"", ""responsable"": ""Mantenimiento de Cámaras"", ""calle"": ""PERON PTE. JUAN DOMINGO"", ""altura"": 0, ""letra"": """", ""bis"": 0, ""coordenadax"": 5437434.890000, ""coordenaday"": 6353909.632500 }, ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.669142, -32.955902 ] } }"
104317,Cámara,Domo MR,CASIANO CASAS y BAIGORRIA,Mantenimiento de Cámaras,CASAS CASIANO,0,,0,5432977.9,6360756.43,"{ ""type"": ""Feature"", ""properties"": { ""id"": 104317, ""tipo"": ""Cámara"", ""clasificacion"": ""Domo MR"", ""descripcionresumida"": ""CASIANO CASAS y BAIGORRIA"", ""responsable"": ""Mantenimiento de Cámaras"", ""calle"": ""CASAS CASIANO"", ""altura"": 0, ""letra"": """", ""bis"": 0, ""coordenadax"": 5432977.900000, ""coordenaday"": 6360756.430000 }, ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.716309, -32.893905 ] } }"
